id;Car Make;Car Model;Car Model Year
894;Mercury;Grand Marquis;1993
895;Hyundai;Sonata;1996
896;Toyota;Land Cruiser;2006
897;Mazda;323;1995
898;Shelby;GT350;1969
899;Mercedes-Benz;500SL;1993
900;Nissan;Xterra;2000
901;Chevrolet;Colorado;2005
902;Mitsubishi;Montero Sport;1999
903;Volkswagen;Scirocco;1987
904;Suzuki;Verona;2004
905;Ford;Probe;1994
906;Volvo;S40;2002
907;Pontiac;Grand Prix;1991
908;Chevrolet;Corvette;1992
909;Suzuki;Esteem;2002
910;Cadillac;Sixty Special;1993
911;Kia;Sorento;2009
912;Suzuki;XL-7;2003
913;Buick;Hearse;1996
914;Pontiac;Grand Prix;2001
915;Acura;Legend;1988
916;Chevrolet;Cavalier;1999
917;Volkswagen;Jetta III;1994
918;Mercedes-Benz;G-Class;2009
919;Land Rover;LR3;2009
920;Lincoln;Town Car;1990
921;Chevrolet;Tahoe;2000
922;Hyundai;Elantra;1997
923;Austin;Mini Cooper;1964
924;Honda;Pilot;2005
925;Chevrolet;Colorado;2006
926;Acura;MDX;2001
927;Porsche;928;1986
928;Kia;Sportage;2010
929;Ford;Falcon;1967
930;BMW;525;2002
931;Maserati;Quattroporte;2006
932;Audi;A4;2007
933;MINI;Cooper;2005
934;Audi;A4;2000
935;Volkswagen;Golf III;1995
936;Pontiac;Grand Prix;1983
937;Buick;Regal;1989
938;Audi;A6;1997
939;Pontiac;Grand Am;1994
940;Saab;9-7X;2008
941;Lincoln;Navigator L;2010
942;GMC;Yukon XL 1500;2000
943;Chevrolet;Corvette;1959
944;Lexus;LX;1998
945;Chevrolet;Corvette;1959
946;Lamborghini;Murciélago;2002
947;Mitsubishi;Montero;2005
948;Honda;S2000;2009
949;Aston Martin;V12 Vantage;2011
950;Subaru;Impreza;2000
951;Mitsubishi;Eclipse;2011
952;Chevrolet;Camaro;1975
953;Saturn;Sky;2007
954;Pontiac;Grand Prix;1977
955;GMC;Yukon XL 2500;2007
956;Dodge;Charger;2006
957;Audi;A5;2011
958;Chevrolet;Equinox;2006
959;Mercury;Milan;2009
960;Volkswagen;Golf;2012
961;Spyker;C8 Laviolette;2004
962;Jaguar;XF;2009
963;Volvo;C70;2011
964;Toyota;Tundra;2009
965;Holden;VS Commodore;1996
966;Oldsmobile;Cutlass Supreme;1995
967;Nissan;Frontier;2004
968;Suzuki;Grand Vitara;2001
969;Cadillac;XLR-V;2008
970;Audi;S4;2008
971;Hyundai;Tucson;2005
972;Volkswagen;CC;2012
973;Chevrolet;Vega;1971
974;Toyota;Land Cruiser;1997
975;Buick;Skyhawk;1986
976;Dodge;Grand Caravan;2012
977;Lincoln;MKZ;2008
978;Saturn;Astra;2008
979;Mitsubishi;Endeavor;2006
980;Dodge;Caravan;2010
981;Suzuki;SJ;1994
982;Dodge;Ram 3500;2001
983;Mitsubishi;RVR;1993
984;GMC;Savana 3500;2012
985;Geo;Storm;1992
986;Mercedes-Benz;CL-Class;2010
987;GMC;Sierra 1500;1999
988;Saab;9-5;2002
989;Ford;Taurus;2008
990;Infiniti;Q;1998
991;Ford;LTD Crown Victoria;1984
992;Mercury;Tracer;1991
993;Volkswagen;Jetta;1998
994;BMW;Z4;2011
995;Ferrari;F430;2008
996;Ford;Explorer;1996
997;BMW;3 Series;1994
998;Ford;GT;2006
999;Ford;Explorer Sport Trac;2005
1000;Ford;Ranger;2010
